state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,vehicles_involved,vehicle_type,casualties,fatalities,weather,road_type,road_condition,lighting,traffic_control,speed_limit,driver_age,driver_gender,driver_license_status,alcohol_involvement,location_details,accident_id,month_num,hour,is_night,is_peak_hour,is_rainy,alcohol_flag,is_weekend,severity_binary
West Bengal,Kolkata,2020,April,Friday,7:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,Unknown,58,47,Female,Valid,No,Bridge,43,4,7,0,0,0,0,0,0
West Bengal,Kolkata,2018,December,Sunday,7:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,44,12,7,0,0,1,1,1,1
Tripura,Unknown,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,45,2,10,0,1,0,0,1,1
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,Unknown,Yes,Intersection,46,2,22,1,0,1,1,0,0
West Bengal,Durgapur,2021,November,Friday,9:4,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,Unknown,No,Intersection,47,11,9,0,1,0,0,0,0
Chhattisgarh,Unknown,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,48,1,19,0,1,1,1,0,1
Himachal Pradesh,Unknown,2019,October,Wednesday,5:0,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,Unknown,Yes,Intersection,49,10,5,1,0,0,1,0,1
Gujarat,Ahmedabad,2023,May,Sunday,4:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,Unknown,41,49,Female,Valid,No,Curve,50,5,4,1,0,0,0,1,0
Gujarat,Ahmedabad,2019,December,Wednesday,0:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,Unknown,61,51,Female,Unknown,No,Intersection,51,12,0,1,0,1,0,0,1
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,Unknown,109,30,Male,Valid,No,Bridge,52,5,18,0,1,1,0,0,0
Odisha,Unknown,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,Unknown,30,57,Male,Expired,No,Curve,53,8,22,1,0,0,0,0,1
Uttarakhand,Unknown,2022,May,Sunday,9:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,Unknown,Yes,Straight Road,54,5,9,0,1,0,1,1,0
Chhattisgarh,Unknown,2021,April,Saturday,5:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,55,4,5,1,0,0,1,1,1
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,56,10,20,1,0,0,0,0,1
Uttarakhand,Unknown,2022,February,Sunday,0:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,Unknown,No,Intersection,57,2,0,1,0,0,0,1,1
Arunachal Pradesh,Unknown,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,Unknown,Yes,Bridge,58,2,22,1,0,1,1,0,1
West Bengal,Siliguri,2022,November,Tuesday,0:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,Unknown,No,Bridge,59,11,0,1,0,1,0,0,1
Chhattisgarh,Unknown,2018,April,Monday,7:9,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,Unknown,70,62,Female,Valid,Yes,Bridge,60,4,7,0,0,0,1,0,1
Haryana,Unknown,2021,August,Sunday,8:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,Unknown,No,Intersection,61,8,8,0,1,0,0,1,1
Andhra Pradesh,Vijayawada,2022,January,Monday,7:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,Unknown,95,51,Female,Expired,No,Bridge,62,1,7,0,0,0,0,0,0
Assam,Unknown,2023,June,Saturday,6:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,63,6,6,0,0,0,0,1,1
Himachal Pradesh,Unknown,2018,October,Saturday,10:6,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,Unknown,85,55,Male,Valid,No,Intersection,64,10,10,0,1,0,0,1,0
Odisha,Unknown,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,65,6,21,1,0,0,1,0,1
Telangana,Unknown,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,66,8,10,0,1,0,0,1,1
Uttarakhand,Unknown,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,Unknown,61,35,Male,Expired,No,Straight Road,67,2,20,1,0,0,0,0,1
Goa,Unknown,2018,February,Saturday,15:1,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,Unknown,35,23,Female,Unknown,Yes,Curve,68,2,15,0,0,0,1,1,1
Chandigarh,Unknown,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,69,8,17,0,1,1,0,0,1
Assam,Unknown,2023,April,Sunday,5:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,70,4,5,1,0,0,0,1,1
Odisha,Unknown,2018,May,Wednesday,0:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,Unknown,30,41,Female,Unknown,No,Intersection,71,5,0,1,0,0,0,0,1
Mizoram,Unknown,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,Unknown,97,68,Male,Unknown,Yes,Intersection,72,6,16,0,0,0,1,0,1
Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,73,3,13,0,0,0,0,0,1
Meghalaya,Unknown,2018,April,Tuesday,2:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,74,4,2,1,0,0,1,0,1
Karnataka,Mysore,2019,October,Monday,5:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,Unknown,44,42,Female,Unknown,Yes,Bridge,75,10,5,1,0,0,1,0,0
Uttarakhand,Unknown,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,76,4,16,0,0,0,1,1,0
Delhi,Dwarka,2018,January,Tuesday,4:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,Unknown,77,63,Female,Unknown,Yes,Intersection,77,1,4,1,0,1,1,0,1
Jharkhand,Unknown,2022,April,Thursday,0:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,Unknown,Yes,Straight Road,78,4,0,1,0,0,1,0,1
Assam,Unknown,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,Unknown,No,Straight Road,79,4,19,0,1,0,0,1,0
Jammu and Kashmir,Unknown,2023,February,Saturday,9:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,Unknown,No,Bridge,80,2,9,0,1,0,0,1,1
Punjab,Unknown,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,Unknown,No,Curve,81,4,15,0,0,0,0,0,1
Jammu and Kashmir,Unknown,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,82,12,17,0,1,1,1,0,1
Gujarat,Vadodara,2018,August,Thursday,9:3,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,83,8,9,0,1,0,0,0,0
Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,Unknown,Yes,Bridge,84,6,16,0,0,0,1,0,0
Manipur,Unknown,2020,May,Sunday,8:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,85,5,8,0,1,0,1,1,0
Maharashtra,Nagpur,2023,May,Wednesday,12:2,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,86,5,12,0,0,0,0,0,1
Chandigarh,Unknown,2020,October,Wednesday,17:6,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,Unknown,43,60,Male,Expired,Yes,Curve,87,10,17,0,1,1,1,0,0
Madhya Pradesh,Unknown,2022,July,Sunday,2:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,88,7,2,1,0,0,1,1,0
Bihar,Unknown,2023,March,Monday,3:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,89,3,3,1,0,0,0,0,1
Tripura,Unknown,2022,February,Saturday,2:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,90,2,2,1,0,0,1,1,1
Madhya Pradesh,Unknown,2018,October,Tuesday,11:17,Serious,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,91,10,11,0,0,0,0,0,1
Jharkhand,Unknown,2021,November,Tuesday,23:18,Minor,2,Bus,3,0,Stormy,Village Road,Dry,Dusk,Unknown,95,36,Male,Expired,Yes,Intersection,92,11,23,1,0,0,1,0,0
Assam,Unknown,2022,May,Saturday,12:31,Minor,2,Bus,4,4,Stormy,Urban Road,Damaged,Dark,Unknown,82,27,Female,Unknown,Yes,Bridge,93,5,12,0,0,0,1,1,0
Punjab,Unknown,2018,August,Sunday,14:45,Serious,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,94,8,14,0,0,1,0,1,1
Nagaland,Unknown,2018,July,Friday,9:17,Fatal,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,95,7,9,0,1,0,0,0,1
Uttar Pradesh,Lucknow,2020,April,Saturday,1:29,Minor,4,Car,5,3,Clear,National Highway,Damaged,Daylight,Unknown,36,34,Female,Expired,No,Curve,96,4,1,1,0,0,0,1,0
Gujarat,Ahmedabad,2022,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,97,8,12,0,0,1,1,1,1
Tripura,Unknown,2020,August,Monday,16:40,Serious,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,98,8,16,0,0,1,0,0,1
Assam,Unknown,2020,February,Saturday,12:7,Minor,2,Car,1,2,Stormy,Village Road,Damaged,Dusk,Unknown,73,61,Female,Unknown,Yes,Curve,99,2,12,0,0,0,1,1,0
Karnataka,Mysore,2020,December,Tuesday,12:46,Fatal,2,Car,9,0,Foggy,Urban Road,Dry,Dusk,Unknown,60,58,Male,Expired,Yes,Straight Road,100,12,12,0,0,0,1,0,1
Telangana,Unknown,2023,September,Sunday,13:12,Minor,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,101,9,13,0,0,0,0,1,0
Tripura,Unknown,2020,December,Sunday,10:51,Fatal,4,Auto-Rickshaw,4,4,Clear,State Highway,Dry,Daylight,Signs,100,62,Male,Unknown,No,Intersection,102,12,10,0,1,0,0,1,1
Andhra Pradesh,Tirupati,2019,August,Saturday,6:11,Serious,4,Cycle,5,3,Rainy,State Highway,Wet,Dusk,Unknown,98,44,Male,Unknown,No,Intersection,103,8,6,0,0,1,0,1,1
Kerala,Unknown,2022,April,Monday,5:20,Minor,3,Two-Wheeler,10,3,Clear,Urban Road,Under Construction,Dusk,Unknown,86,30,Male,Expired,Yes,Curve,104,4,5,1,0,0,1,0,0
Jammu and Kashmir,Unknown,2019,March,Sunday,7:50,Serious,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,105,3,7,0,0,0,1,1,1
Goa,Unknown,2020,June,Sunday,15:50,Fatal,1,Auto-Rickshaw,8,5,Stormy,Village Road,Wet,Dark,Signals,49,51,Female,Valid,Yes,Curve,106,6,15,0,0,0,1,1,1
Gujarat,Vadodara,2023,August,Wednesday,10:13,Serious,4,Pedestrian,5,4,Stormy,Village Road,Wet,Daylight,Signs,102,29,Male,Valid,No,Curve,107,8,10,0,1,0,0,0,1
Uttarakhand,Unknown,2021,May,Thursday,5:29,Fatal,2,Bus,2,2,Stormy,Village Road,Damaged,Daylight,Signals,86,27,Male,Valid,Yes,Straight Road,108,5,5,1,0,0,1,0,1
Meghalaya,Unknown,2019,September,Friday,20:43,Fatal,5,Bus,2,4,Hazy,National Highway,Dry,Dusk,Unknown,103,64,Male,Expired,No,Straight Road,109,9,20,1,0,0,0,0,1
Manipur,Unknown,2022,August,Saturday,11:22,Minor,4,Car,8,4,Foggy,Village Road,Under Construction,Dark,Signals,41,37,Male,Expired,Yes,Straight Road,110,8,11,0,0,0,1,1,0
Chhattisgarh,Unknown,2020,October,Friday,18:43,Fatal,4,Auto-Rickshaw,3,5,Clear,State Highway,Damaged,Dusk,Signs,111,59,Male,Expired,No,Curve,111,10,18,0,1,0,0,0,1
Karnataka,Mysore,2022,December,Tuesday,22:37,Serious,4,Auto-Rickshaw,9,4,Stormy,Urban Road,Wet,Dusk,Unknown,92,20,Female,Unknown,No,Intersection,112,12,22,1,0,0,0,0,1
Manipur,Unknown,2021,June,Wednesday,3:40,Fatal,5,Pedestrian,4,5,Foggy,Urban Road,Under Construction,Dark,Signals,32,26,Male,Valid,Yes,Intersection,113,6,3,1,0,0,1,0,1
Jharkhand,Unknown,2019,October,Wednesday,8:16,Minor,1,Auto-Rickshaw,10,5,Hazy,National Highway,Under Construction,Dusk,Signs,50,61,Female,Unknown,No,Curve,114,10,8,0,1,0,0,0,0
Mizoram,Unknown,2021,May,Monday,3:50,Serious,3,Truck,9,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,34,Female,Expired,Yes,Intersection,115,5,3,1,0,1,1,0,1
Chandigarh,Unknown,2018,October,Tuesday,18:24,Fatal,5,Two-Wheeler,5,0,Stormy,State Highway,Damaged,Dusk,Unknown,120,22,Male,Expired,No,Intersection,116,10,18,0,1,0,0,0,1
Punjab,Unknown,2023,May,Friday,2:20,Minor,3,Truck,0,0,Clear,National Highway,Dry,Dusk,Signs,66,50,Male,Unknown,Yes,Intersection,117,5,2,1,0,0,1,0,0
Tripura,Unknown,2023,February,Wednesday,13:20,Serious,4,Auto-Rickshaw,0,1,Clear,Village Road,Dry,Dawn,Police Checkpost,69,24,Male,Unknown,No,Straight Road,118,2,13,0,0,0,0,0,1
Telangana,Unknown,2020,June,Monday,3:19,Minor,5,Two-Wheeler,10,1,Stormy,Urban Road,Damaged,Dusk,Unknown,73,50,Male,Unknown,Yes,Curve,119,6,3,1,0,0,1,0,0
Karnataka,Mangalore,2022,June,Sunday,17:25,Fatal,3,Bus,8,4,Rainy,National Highway,Wet,Daylight,Unknown,86,37,Male,Unknown,No,Curve,120,6,17,0,1,1,0,1,1
Madhya Pradesh,Unknown,2023,July,Monday,21:40,Fatal,4,Cycle,3,1,Rainy,State Highway,Wet,Dusk,Unknown,81,45,Female,Expired,No,Intersection,121,7,21,1,0,1,0,0,1
Chandigarh,Unknown,2020,May,Sunday,17:9,Minor,2,Bus,10,0,Rainy,National Highway,Under Construction,Dark,Unknown,61,47,Female,Valid,No,Bridge,122,5,17,0,1,1,0,1,0
Tamil Nadu,Chennai,2019,May,Friday,22:3,Minor,3,Bus,10,4,Hazy,National Highway,Wet,Daylight,Unknown,35,31,Female,Valid,No,Intersection,123,5,22,1,0,0,0,0,0
Delhi,Rohini,2019,April,Monday,16:44,Fatal,5,Bus,7,3,Stormy,State Highway,Under Construction,Daylight,Unknown,77,63,Male,Expired,No,Intersection,124,4,16,0,0,0,0,0,1
Chhattisgarh,Unknown,2018,October,Wednesday,10:18,Fatal,1,Bus,1,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,119,49,Female,Expired,No,Bridge,125,10,10,0,1,0,0,0,1
Puducherry,Unknown,2022,February,Wednesday,4:31,Serious,5,Cycle,10,5,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Male,Valid,No,Bridge,126,2,4,1,0,0,0,0,1
West Bengal,Kolkata,2018,June,Saturday,20:12,Serious,1,Bus,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,53,Male,Expired,Yes,Intersection,127,6,20,1,0,1,1,1,1
Tamil Nadu,Chennai,2023,November,Thursday,21:27,Serious,5,Two-Wheeler,10,1,Rainy,Urban Road,Under Construction,Dawn,Signals,80,32,Male,Unknown,Yes,Intersection,128,11,21,1,0,1,1,0,1
Punjab,Unknown,2019,May,Tuesday,22:18,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,49,57,Female,Expired,Yes,Intersection,129,5,22,1,0,0,1,0,0
Karnataka,Bangalore,2020,May,Thursday,6:49,Serious,2,Cycle,8,2,Rainy,Urban Road,Wet,Daylight,Signs,96,43,Male,Valid,Yes,Intersection,130,5,6,0,0,1,1,0,1
